위치명 ,위도,경도
대전대학교운동장,36.3373,127.4629
대룡초등학교운동장,36.3299,127.4554
동광초등학교운동장,36.3369,127.4498
지진해일대피소명,위도,경도
보성여중고등학교 운동장,,
용산고등학교 운동장,37.54586549,126.98032846
두텁바위공원,,
새꿈어린이공원,,
청파어린이공원,,
돌모루어린이공원,37.542767118,126.96859292
청파선린공원,,
선린중학교 운동장,,
청파초등학교 운동장,,
선린인터넷고등학교 운동장,37.542975572,126.96648816
남정초등학교 운동장,,
성심여자중고등학교 운동장,37.534210272,126.95459415
원효초등학교 운동장,37.53616243,126.95154713
늘푸른어린이공원,37.534902977,126.95655336
문화원 정자마당,,
산천동 마을마당,,
효창운동장,37.544040881,126.9616446
백범김구기념관,37.544277944,126.95925462
금양초등학교 운동장,37.540941503,126.96183176
기와터공원,,
솔밭어린이공원,,
용산초등학교 운동장,,
용산공업고등학교 운동장,37.524343115,126.96735626
중경고등학교 운동장,37.517681297,126.97563927
십정녹지,37.4742416,126.6923128
십정체육공원,37.480105783,126.6915918
약산공원,37.473414084,126.70756827
열우물공원,37.475222902,126.69598471
하동공원,37.472165,126.697739
하정공원(85호공원),37.473711,126.7009039
백운초등학교 운동장,37.480049583,126.70486518
부평서여자중학교 운동장,37.485366717,126.70534628
상정초등학교 운동장,37.479681688,126.69903732
신촌초등학교 운동장,37.486754102,126.706767
십정초등학교 운동장,37.474270025,126.69824506
마장공원,37.50067301,126.7075394
뫼골문화공원,37.513877,126.70076862
마곡초등학교 운동장,37.512064288,126.69783508
미산초등학교 운동장,37.5045403,126.709813
산곡중학교 운동장,37.503021811,126.6992377
산곡초등학교 운동장,37.50684705,126.70120386
나비공원,37.520287,126.69272519
원적산공원,37.513214,126.691426
마장초등학교 운동장,37.506774676,126.70975899
용마초등학교 운동장,37.515397461,126.70764885
청천중학교 운동장,37.511731665,126.7045414
청천초등학교 운동장,37.520468119,126.70038938
석수초등학교,37.40610409,126.9007546
안양중학교,37.40925417,126.8966841
연현중학교,37.42938535,126.8995241
연현초등학교,37.42522155,126.9025742
충훈고등학교,37.4108765,126.8931893
화창초등학교,37.41212518,126.9035118
박달초등학교,37.40077894,126.9027855
